Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
delay(2),Chrome 150.0.7871.187,,,29-07-2026 12:36:46,29-07-2026 12:36:48,2.017s,PASSED
"setText(findTestObject(""BRINESIA UI/Tableau/Login/username""), ""administrator"")",Chrome 150.0.7871.187,,,29-07-2026 12:36:48,29-07-2026 12:36:49,0.971s,PASSED
"setText(findTestObject(""BRINESIA UI/Tableau/Login/password""), ""Tsi_Brins2020"")",Chrome 150.0.7871.187,,,29-07-2026 12:36:49,29-07-2026 12:36:51,1.903s,PASSED
"click(findTestObject(""BRINESIA UI/Tableau/Login/btnSign""))",Chrome 150.0.7871.187,,,29-07-2026 12:36:51,29-07-2026 12:36:52,0.570s,PASSED
"click(findTestObject(""BRINESIA UI/Tableau/MenuDashboard/opsiSearchDOB""))",Chrome 150.0.7871.187,,,29-07-2026 12:36:52,29-07-2026 12:36:53,0.980s,PASSED
"click(findTestObject(""BRINESIA UI/Tableau/MenuDashboard/dataDefault""))",Chrome 150.0.7871.187,,,29-07-2026 12:36:53,29-07-2026 12:36:54,1.340s,PASSED
"click(findTestObject(""BRINESIA UI/Tableau/Menu Default/dataLOA""))",Chrome 150.0.7871.187,,,29-07-2026 12:36:54,29-07-2026 12:36:55,1.017s,PASSED
"click(findTestObject(""BRINESIA UI/Tableau/Menu Default/dataSupervisi""))",Chrome 150.0.7871.187,,,29-07-2026 12:36:55,29-07-2026 12:36:56,1.181s,PASSED
delay(15),Chrome 150.0.7871.187,,,29-07-2026 12:36:56,29-07-2026 12:37:11,15.011s,PASSED
urlSupervisi = getUrl(),Chrome 150.0.7871.187,,,29-07-2026 12:37:11,29-07-2026 12:37:11,0.026s,PASSED
"assert urlSupervisi.contains(""DashboardProduksiPerLOA-BranchSupervisi"")",Chrome 150.0.7871.187,,,29-07-2026 12:37:11,29-07-2026 12:37:11,0.003s,PASSED
screenshotPathSuper = $projectDir/Screenshots/Evidence_POSITIVE_DashboardSuperVisi_$timestamp.png,Chrome 150.0.7871.187,,,29-07-2026 12:37:11,29-07-2026 12:37:11,0.002s,PASSED
takeScreenshot(screenshotPathSuper),Chrome 150.0.7871.187,,,29-07-2026 12:37:11,29-07-2026 12:37:12,0.373s,PASSED
delay(5),Chrome 150.0.7871.187,,,29-07-2026 12:37:12,29-07-2026 12:37:17,5.011s,PASSED
"click(findTestObject(""BRINESIA UI/Tableau/Menu Default/btnBack""))",Chrome 150.0.7871.187,,,29-07-2026 12:37:17,29-07-2026 12:37:17,0.532s,PASSED
"click(findTestObject(""BRINESIA UI/Tableau/Menu Default/dataBranchUtama""))",Chrome 150.0.7871.187,,,29-07-2026 12:37:17,29-07-2026 12:37:19,1.340s,PASSED
delay(10),Chrome 150.0.7871.187,,,29-07-2026 12:37:19,29-07-2026 12:37:29,10.013s,PASSED
urlBranchUtama = getUrl(),Chrome 150.0.7871.187,,,29-07-2026 12:37:29,29-07-2026 12:37:29,0.032s,PASSED
"assert urlBranchUtama.contains(""DashboardProduksiPerLOA-BranchUtama"")",Chrome 150.0.7871.187,,,29-07-2026 12:37:29,29-07-2026 12:37:29,0.002s,PASSED
screenshotPathUtama = $projectDir/Screenshots/Evidence_POSITIVE_DashboardBranchUtama_$timestamp.png,Chrome 150.0.7871.187,,,29-07-2026 12:37:29,29-07-2026 12:37:29,0.002s,PASSED
takeScreenshot(screenshotPathUtama),Chrome 150.0.7871.187,,,29-07-2026 12:37:29,29-07-2026 12:37:29,0.392s,PASSED
delay(5),Chrome 150.0.7871.187,,,29-07-2026 12:37:29,29-07-2026 12:37:34,5.018s,PASSED
"click(findTestObject(""BRINESIA UI/Tableau/Menu Default/btnBack""))",Chrome 150.0.7871.187,,,29-07-2026 12:37:34,29-07-2026 12:37:35,0.561s,PASSED
"click(findTestObject(""BRINESIA UI/Tableau/Menu Default/dataRM""))",Chrome 150.0.7871.187,,,29-07-2026 12:37:35,29-07-2026 12:37:37,1.794s,PASSED
delay(10),Chrome 150.0.7871.187,,,29-07-2026 12:37:37,29-07-2026 12:37:47,10.021s,PASSED
urlRM = getUrl(),Chrome 150.0.7871.187,,,29-07-2026 12:37:47,29-07-2026 12:37:47,0.032s,PASSED
"assert urlRM.contains(""DashboardProduksiPerLOA-RelationshipManager"")",Chrome 150.0.7871.187,,,29-07-2026 12:37:47,29-07-2026 12:37:47,0.002s,PASSED
screenshotPathRM = $projectDir/Screenshots/Evidence_POSITIVE_DashboardRM_$timestamp.png,Chrome 150.0.7871.187,,,29-07-2026 12:37:47,29-07-2026 12:37:47,0.004s,PASSED
takeScreenshot(screenshotPathRM),Chrome 150.0.7871.187,,,29-07-2026 12:37:47,29-07-2026 12:37:47,0.396s,PASSED
delay(5),Chrome 150.0.7871.187,,,29-07-2026 12:37:47,29-07-2026 12:37:52,5.016s,PASSED
"click(findTestObject(""BRINESIA UI/Tableau/Menu Default/btnBack""))",Chrome 150.0.7871.187,,,29-07-2026 12:37:52,29-07-2026 12:37:53,0.570s,PASSED
Start listener action : takeScreenshotAfterTestCase,Chrome 150.0.7871.187,,,29-07-2026 12:37:53,29-07-2026 12:37:54,1.638s,PASSED
